"year","x1","x2","x3","x4","x5","x6","x7","y"
1997,1,1,1,1,1,1,1,1
1998,1.06875117606473,1.14157787297397,1.14839447751697,0.992,1.13892786977266,1.03659574468085,1.05131484603608,1.03304957436154
1999,1.13610236467415,1.32284068920397,1.31762739394232,0.978112,1.19702497895032,0.980425531914894,1.13443016878864,1.02804206309464
2000,1.25798281377407,1.5483774392739,1.47931046988141,0.982024448,1.31983481015196,0.96936170212766,1.21698350871073,1.05758637956935
2001,1.39074327290974,1.89409025862488,1.73967116982965,0.988898619136,1.49208131189607,0.96,1.32930255992869,1.08662994491738
2002,1.52690710656715,2.1851039284996,2.03314896483665,0.980987430182912,1.74411611402911,1.00765957446809,1.49270391256322,1.12669003505258
2003,1.72391645236154,2.51010271478672,2.43114534486946,0.992759279345107,2.1587346136883,1.08340425531915,1.64180377109858,1.18127190786179
2004,2.03023521294612,3.05121290373292,2.79252884489638,1.03147689123957,2.65566737500501,1.1931914893617,1.82578532255877,1.35903855783676
2005,2.34985761776328,3.65839530975109,3.28319924215866,1.05004347528188,3.24742392045227,1.23489361702128,2.03340891033467,1.58637956935403
2006,2.75278805745468,4.48035750201708,3.79775548847028,1.06579412741111,3.91255362655868,1.33106382978723,2.27884037749743,1.68602904356535
2007,3.38822429906542,5.93237191861419,4.43365976044917,1.11695224552684,4.74411611402911,1.41021276595745,2.67151134623956,1.9349023535303
2008,4.00482468795082,7.08927956315584,5.22188069054116,1.18285242801292,5.79716130066958,1.52765957446809,3.05811677615642,1.90285428142213
2009,4.37204666624851,7.92014694017205,6.70611009579616,1.17457246101683,7.2875987330099,1.72,3.32823673042265,2.34401602403605
2010,5.16990905099417,9.6058450100218,7.9768053954435,1.21333335223039,8.77406679764244,1.89617021276596,3.7031567932097,2.52628943415123
2011,6.1210587718748,12.0070221959187,9.35862511580268,1.27885335325083,8.22084118519706,2.01957446808511,4.22645970195531,2.69604406609915
2012,6.75631938781911,13.5535339851164,10.7054847887748,1.31210354043535,9.69271480694439,2.12595744680851,4.76032401216983,2.92388582874311
2013,7.43853979803048,14.9355622495995,12.1602434411448,1.34621823248667,11.3261697606351,2.24936170212766,5.22355289421158,3.16875312969454
2014,8.07329988082544,16.2256107287594,13.4993213935225,1.3731425971364,12.8435507798404,2.39659574468085,5.58957812530279,3.21832749123686
2015,8.64151288966945,17.6010595135439,15.3005495888249,1.39236659349631,13.9459925424001,2.59914893617021,6.04515241361936,3.47120681021532
2016,9.36329549018378,18.4102869679603,17.0345798079681,1.42021392536624,14.9160418587867,2.5863829787234,6.51438869833149,3.85528292438658
2017,10.4376328169102,19.9502921002319,18.5749736524853,1.4429373481721,15.8344092057255,2.64255319148936,7.0531170668372,4.08612919379069
2018,11.5320968450103,21.1948760510176,20.0751489362637,1.47323903248371,16.7681728880157,2.73191489361702,7.60630195918842,4.52929394091137
2019,12.3755278178511,22.0075134606537,21.8306747711146,1.51596296442574,17.6232308247464,3.02042553191489,8.20859252369048,4.84376564847271
2020,12.7148842752305,21.1433267754308,24.0319653872233,1.55386203853638,18.0888897798805,3.21787234042553,8.49442861849117,5.13169754631948
2021,14.4168224299065,23.4136356595778,26.1870624087178,1.56784679688321,18.9648771099796,3.31148936170213,9.18783791640021,5.28092138207311
2022,15.1128896694474,23.5401681165719,29.2797628009359,1.59920373282088,19.8855699450704,3.48340425531915,9.55041373563552,5.11266900350526
2023,15.8136122436179,25.0597528187037,32.1193874848481,1.60240214028652,20.4365502586103,3.53191489361702,10.0422456058756,5.22684026039059
