"x1_f79","x2_f79","x3_f79","x4_f79","x5_f79","x6_f79","x7_f79","x8_f79","x9_f79","x10_f79","x11_f79","x12_f79","x13_f79","x14_f79","x15_f79","x16_f79"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.302576823922455,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.0302576823922454,-0.3328345063147,0,0,0,0,0,0,0,0,0,0,0,0
0,0.060515364784491,-0.100858941307485,-0.40343576522994,0,0,0,0,0,0,0,0,0,0,0,0
0,0.121030729568982,-0.161374306091976,-0.463951130014431,0,0,0,0,0,0,0.060515364784491,0,0,0,0,0
0,0.181546094353473,-0.211803776745718,-0.514380600668173,0,0.0605153647844909,0,0,0,0,0.121030729568982,0,0,0,0,0
0,0.226932617941841,-0.242061459137964,-0.544638283060418,0,0.105901888372859,0,0,0,0,0.16641725315735,0.0453865235883681,0,0,0,0
-0.0756442059806137,0.302576823922455,-0.317705665118577,-0.620282489041032,0,0.181546094353473,0,0,0,0,0.242061459137964,0.121030729568982,0,0,0,-0.0756442059806137
-0.121030729568982,0.363092188706945,-0.363092188706945,-0.6656690126294,0,0.242061459137963,0,0,0,0,0.302576823922454,0.181546094353473,0.0605153647844908,0,0,-0.121030729568982
-0.181546094353473,0.423607553491436,-0.423607553491436,-0.726184377413891,-0.0605153647844909,0.302576823922454,0,0.0605153647844909,0,-0.0605153647844909,0.363092188706945,0.242061459137964,0.121030729568982,0,0,-0.181546094353473
-0.181546094353472,0.484122918275928,-0.423607553491436,-0.726184377413891,-0.0605153647844906,0.363092188706946,0.0605153647844913,0.121030729568982,2.80446365824045e-16,-0.0605153647844906,0.423607553491437,0.302576823922455,0.181546094353473,0.0605153647844913,0,-0.181546094353472
