"dataset","method","k","metric","difference_definition","n_pairs","mean_difference","sd_difference","se_difference","ci_lower","ci_upper","min_difference","max_difference","confidence_level"
"housing_years","kmeans",2,"adjusted_rand_index","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",2,"clustering_accuracy","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",2,"purity","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",2,"silhouette","sparsified_minus_original",30,-0.259585378611149,0,0,-0.259585378611149,-0.259585378611149,-0.259585378611149,-0.259585378611149,0.95
"housing_years","kmeans",2,"normalized_mutual_information","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",2,"davies_bouldin","sparsified_minus_original",30,0.301384471890996,0,0,0.301384471890996,0.301384471890996,0.301384471890996,0.301384471890996,0.95
"housing_years","kmeans",2,"calinski_harabasz","sparsified_minus_original",30,-83.6068017496215,0,0,-83.6068017496215,-83.6068017496215,-83.6068017496215,-83.6068017496215,0.95
"housing_years","kmeans",2,"total_withinss","sparsified_minus_original",30,459.183124757492,0,0,459.183124757492,459.183124757492,459.183124757492,459.183124757492,0.95
"housing_years","kmeans",2,"runtime_sec","sparsified_minus_original",30,0.000333333333325451,0.00964305479333578,0.00176057287785611,-0.00326744250360074,0.00393410917025164,-0.0200000000000955,0.0199999999999818,0.95
"housing_years","kmeans",3,"adjusted_rand_index","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",3,"clustering_accuracy","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",3,"purity","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",3,"silhouette","sparsified_minus_original",30,-0.0355110319798638,0,0,-0.0355110319798638,-0.0355110319798638,-0.0355110319798638,-0.0355110319798638,0.95
"housing_years","kmeans",3,"normalized_mutual_information","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",3,"davies_bouldin","sparsified_minus_original",30,0.272593600275667,0,0,0.272593600275667,0.272593600275667,0.272593600275667,0.272593600275667,0.95
"housing_years","kmeans",3,"calinski_harabasz","sparsified_minus_original",30,-105.251442804042,0,0,-105.251442804042,-105.251442804042,-105.251442804042,-105.251442804042,0.95
"housing_years","kmeans",3,"total_withinss","sparsified_minus_original",30,272.640684193334,0,0,272.640684193334,272.640684193334,272.640684193334,272.640684193334,0.95
"housing_years","kmeans",3,"runtime_sec","sparsified_minus_original",30,0.00166666666666515,0.00949894125980928,0.00173426146680469,-0.00188029629245235,0.00521362962578265,-0.0199999999999818,0.0199999999999818,0.95
"housing_years","kmeans",4,"adjusted_rand_index","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",4,"clustering_accuracy","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",4,"purity","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",4,"silhouette","sparsified_minus_original",30,0.098980695073784,0,0,0.098980695073784,0.098980695073784,0.098980695073784,0.098980695073784,0.95
"housing_years","kmeans",4,"normalized_mutual_information","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",4,"davies_bouldin","sparsified_minus_original",30,0.0632056143198075,0,0,0.0632056143198075,0.0632056143198075,0.0632056143198075,0.0632056143198075,0.95
"housing_years","kmeans",4,"calinski_harabasz","sparsified_minus_original",30,-116.257052472472,1.5387237567771e-14,2.80931237118637e-15,-116.257052472472,-116.257052472472,-116.257052472472,-116.257052472472,0.95
"housing_years","kmeans",4,"total_withinss","sparsified_minus_original",30,108.614169277938,0,0,108.614169277938,108.614169277938,108.614169277938,108.614169277938,0.95
"housing_years","kmeans",4,"runtime_sec","sparsified_minus_original",30,0.00133333333333591,0.00973204211243123,0.00177681966518961,-0.00230067091463418,0.004967337581306,-0.0199999999999818,0.0200000000000955,0.95
"housing_years","kmeans",5,"adjusted_rand_index","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",5,"clustering_accuracy","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",5,"purity","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",5,"silhouette","sparsified_minus_original",30,0.112382931305851,0.00325827226350344,0.000594876405738084,0.11116627244743,0.113599590164272,0.111788054900113,0.129634347072255,0.95
"housing_years","kmeans",5,"normalized_mutual_information","sparsified_minus_original",0,NA,NA,NA,NA,NA,NA,NA,0.95
"housing_years","kmeans",5,"davies_bouldin","sparsified_minus_original",30,0.0304914155313882,0.00382209104860288,0.000697815161386125,0.0290642232785917,0.0319186077841847,0.0102547758511906,0.0311892306927744,0.95
"housing_years","kmeans",5,"calinski_harabasz","sparsified_minus_original",30,-108.345211451995,1.18484473932741,0.21632206362365,-108.787639748765,-107.902783155224,-108.561533515619,-102.071871606909,0.95
"housing_years","kmeans",5,"total_withinss","sparsified_minus_original",30,49.68665254697,0.0375195648794965,0.00685010401075961,49.6726425111955,49.7006625827445,49.487999530658,49.6935026509807,0.95
"housing_years","kmeans",5,"runtime_sec","sparsified_minus_original",30,0.00100000000000288,0.00844862771962218,0.0015425013273335,-0.00215476943768863,0.0041547694376944,-0.0199999999999818,0.0199999999999818,0.95
