"year","original_k","original_representative_run","original_cluster","sparsified_k","sparsified_representative_run","sparsified_cluster"
1997,2,1,1,4,1,3
1998,2,1,1,4,1,3
1999,2,1,1,4,1,3
2000,2,1,1,4,1,3
2001,2,1,1,4,1,3
2002,2,1,1,4,1,3
2003,2,1,1,4,1,3
2004,2,1,1,4,1,2
2005,2,1,1,4,1,2
2006,2,1,1,4,1,2
2007,2,1,1,4,1,2
2008,2,1,1,4,1,2
2009,2,1,1,4,1,2
2010,2,1,1,4,1,2
2011,2,1,1,4,1,2
2012,2,1,2,4,1,1
2013,2,1,2,4,1,1
2014,2,1,2,4,1,1
2015,2,1,2,4,1,1
2016,2,1,2,4,1,1
2017,2,1,2,4,1,4
2018,2,1,2,4,1,4
2019,2,1,2,4,1,4
2020,2,1,2,4,1,4
2021,2,1,2,4,1,4
2022,2,1,2,4,1,4
2023,2,1,2,4,1,4
