"dataset","representation","method","k","adjusted_rand_index"
"breast_tissue","original","kmeans",6,0.285080124199285
"breast_tissue","sparsified","kmeans",6,0.360852644896783
"hcv","original","kmeans",5,0.0729991872892534
"hcv","sparsified","kmeans",5,0.0537032489350561
"wholesale_customers","original","kmeans",3,-0.0102816059713854
"wholesale_customers","sparsified","kmeans",3,-0.0100969302190176
"vehicle_silhouettes","original","kmeans",4,0.0761244520806915
"vehicle_silhouettes","sparsified","kmeans",4,0.12015079256137
"statlog_image_segmentation","original","kmeans",7,0.459982026912638
"statlog_image_segmentation","sparsified","kmeans",7,0.44830257659949
"vertebral_column_3classes","original","kmeans",3,0.211391479326811
"vertebral_column_3classes","sparsified","kmeans",3,0.214773224181461
"vertebral_column_2classes","original","kmeans",2,0.101851901452218
"vertebral_column_2classes","sparsified","kmeans",2,0.127615996358667
"user_knowledge_modeling","original","kmeans",5,0.105742700805764
"user_knowledge_modeling","sparsified","kmeans",5,0.435089535829713
"banknote_authentication","original","kmeans",2,0.0132158327785109
"banknote_authentication","sparsified","kmeans",2,0.0236233590677363
"wine","original","kmeans",3,0.897494981509321
"wine","sparsified","kmeans",3,0.914879596066953
