"dataset","representation","method","k","silhouette","davies_bouldin","calinski_harabasz","runtime_sec","n_used"
"banknote_authentication","original","kmeans",2,0.333757709767546,1.19969173009006,807.220211650388,0.0400000000000063,1372
"breast_tissue","original","kmeans",2,0.492559951176643,0.957532838347397,79.6312938053753,0,106
"hcv","original","kmeans",4,0.260247528903486,1.36344061197584,109.052234415703,0.0200000000000031,615
"libras_movement","original","kmeans",8,0.234440328474719,1.43888776858644,59.4498984137419,0.0799999999999983,360
"pen_recognition_handwritten_digits","original","kmeans",8,0.282919237396502,1.29980002082976,2566.94747972098,1.32,10992
"statlog_image_segmentation","original","kmeans",7,0.354304568572424,1.08094539614402,850.933512179981,0.189999999999998,2310
"user_knowledge_modeling","original","kmeans",7,0.186828192019949,1.39576902107806,73.054149933814,0.0299999999999869,403
"vehicle_silhouettes","original","kmeans",2,0.389604137457748,1.03204682603161,588.942507176987,0.0300000000000011,846
"vertebral_column_2classes","original","kmeans",2,0.362901784727651,1.13086105904364,189.338916000659,0.0200000000000102,310
"vertebral_column_3classes","original","kmeans",2,0.362901784727651,1.13086105904364,189.338916000659,0,310
"wholesale_customers","original","kmeans",4,0.450258480504985,0.976582823527318,174.404607858738,0.00999999999999801,440
"wine","original","kmeans",3,0.284858919189899,1.38918797771816,70.9400080031512,0,178
"banknote_authentication","sparsified","kmeans",4,0.177491138217318,2.01736711432485,197.024878683963,0.100000000000009,1372
"breast_tissue","sparsified","kmeans",4,0.219959444835426,1.73066638624459,19.3335208793475,0,106
"hcv","sparsified","kmeans",2,0.0695923805692813,3.86478193828685,38.0976583934473,0.0600000000000023,615
"libras_movement","sparsified","kmeans",6,0.101005139458215,2.58723585309382,21.5857063658406,0.329999999999998,360
"pen_recognition_handwritten_digits","sparsified","kmeans",5,0.123655586615745,2.45583283426174,910.534591458811,3.12,10992
"statlog_image_segmentation","sparsified","kmeans",6,0.216062269634988,1.81647252369638,312.049045061296,0.399999999999991,2310
"user_knowledge_modeling","sparsified","kmeans",5,0.118092888037872,2.39142461565677,30.3203882846728,0.0300000000000011,403
"vehicle_silhouettes","sparsified","kmeans",4,0.164645437655601,2.12092692130962,116.588529035499,0.109999999999999,846
"vertebral_column_2classes","sparsified","kmeans",4,0.132689087700053,2.33282453235935,37.4343254566737,0.0100000000000051,310
"vertebral_column_3classes","sparsified","kmeans",4,0.132689087700053,2.33282453235935,37.4343254566737,0.019999999999996,310
"wholesale_customers","sparsified","kmeans",5,0.130986184656227,2.29728515884097,39.0210647493673,0.0499999999999972,440
"wine","sparsified","kmeans",3,0.116660338412682,2.64120003064106,19.750873933982,0.0200000000000102,178
