"dataset","representation","method","k","n_used","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","runtime_sec"
"breast_tissue","original","kmeans",6,106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,0
"breast_tissue","sparsified","kmeans",6,106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,0.00999999999999801
"hcv","original","kmeans",5,615,0.192925332278016,1.64961051015326,98.4713960376111,0.0729991872892534,0.154353043349067,0.403252032520325,0.899186991869919,0.0300000000000011
"hcv","sparsified","kmeans",5,615,0.0403809520971646,3.63595835000515,28.0613427859292,0.0537032489350561,0.169955270028049,0.32520325203252,0.899186991869919,0.110000000000007
"wholesale_customers","original","kmeans",3,440,0.442915492046339,1.14646617147803,175.115129210211,-0.0102816059713854,0.00706686668698281,0.518181818181818,0.718181818181818,0.00999999999999801
"wholesale_customers","sparsified","kmeans",3,440,0.110861746140904,2.63868939616371,44.1622432835413,-0.0100969302190176,0.00566381392757097,0.390909090909091,0.718181818181818,0.019999999999996
"vehicle_silhouettes","original","kmeans",4,846,0.305389094559658,1.06835040952416,433.9752360232,0.0761244520806915,0.117064874760899,0.359338061465721,0.367612293144208,0.0499999999999972
"vehicle_silhouettes","sparsified","kmeans",4,846,0.164645437655601,2.12092692130962,116.588529035499,0.12015079256137,0.179403807810797,0.449172576832151,0.449172576832151,0.109999999999999
"statlog_image_segmentation","original","kmeans",7,2310,0.354304568572424,1.08094539614402,850.933512179981,0.459982026912638,0.585719552102595,0.545021645021645,0.553679653679654,0.189999999999998
"statlog_image_segmentation","sparsified","kmeans",7,2310,0.198268441971025,1.86354208959132,289.517347574642,0.44830257659949,0.597876485612009,0.576623376623377,0.582251082251082,0.489999999999995
"vertebral_column_3classes","original","kmeans",3,310,0.295131105194198,1.298552774954,153.595924480553,0.211391479326811,0.303127128830606,0.467741935483871,0.667741935483871,0.0300000000000011
"vertebral_column_3classes","sparsified","kmeans",3,310,0.125255540687928,2.44473887685789,39.8274923325522,0.214773224181461,0.291859820456164,0.474193548387097,0.661290322580645,0.0100000000000051
"vertebral_column_2classes","original","kmeans",2,310,0.362901784727651,1.13086105904364,189.338916000659,0.101851901452218,0.160871796150058,0.664516129032258,0.67741935483871,0.0200000000000102
"vertebral_column_2classes","sparsified","kmeans",2,310,0.131109289559502,2.48914907576522,46.8436435366002,0.127615996358667,0.137800384607136,0.680645161290323,0.680645161290323,0
"user_knowledge_modeling","original","kmeans",5,403,0.182436221743452,1.47187391481817,79.6875356376997,0.105742700805764,0.201935519978625,0.387096774193548,0.471464019851117,0.019999999999996
"user_knowledge_modeling","sparsified","kmeans",5,403,0.118092888037872,2.39142461565677,30.3203882846728,0.435089535829713,0.509589553731315,0.657568238213399,0.727047146401985,0.0300000000000011
"banknote_authentication","original","kmeans",2,1372,0.333757709767546,1.19969173009006,807.220211650388,0.0132158327785109,0.0109953454890105,0.559037900874636,0.559037900874636,0.0400000000000063
"banknote_authentication","sparsified","kmeans",2,1372,0.141724741778573,2.49238481819171,209.752515034186,0.0236233590677363,0.0182718984054328,0.57798833819242,0.57798833819242,0.0500000000000114
"wine","original","kmeans",3,178,0.284858919189899,1.38918797771816,70.9400080031512,0.897494981509321,0.875898467540787,0.966292134831461,0.966292134831461,0
"wine","sparsified","kmeans",3,178,0.116660338412682,2.64120003064106,19.750873933982,0.914879596066953,0.892589719352039,0.971910112359551,0.971910112359551,0.0200000000000102
